BEGIN;
BEGIN
select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'ARGENTINA'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000010000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'ARGENTINA'
		)
order by
	value desc;
 ps_partkey |      value       
------------+------------------
    4666387 | 24863329.2276001
   11184938 | 23331703.5198975
    9262150 | 22988306.4744263
   16985945 | 22509546.2893066
   12398628 |  22249945.913147
    7824923 | 22238987.8731689
      45983 | 21551806.6836548
     720228 | 21374464.7851562
    3163129 | 21025878.2784424
   17996857 | 20861176.7283936
   14059931 | 20832384.6626587
   12618765 | 20413296.8449707
    2862881 | 20326854.1228027
    3132812 | 20292052.9421387
   11783449 | 20227112.3909302
    1787777 | 20128194.9038086
   15373170 | 19984613.9345703
    6820716 | 19859128.0066528
   14666367 | 19823458.5219727
    5048147 | 19674035.0234375
    4922687 | 19484455.6367798
    1671247 | 19426277.0265198
   15809965 | 19390193.2822266
    9452323 | 19274529.5125732
   19457264 | 19235759.1567993
    3264097 | 18966543.4671631
   12180260 |  18924046.229248
   19856561 | 18912665.7805176
   11956276 | 18872564.1854858
    5224243 | 18781818.9204712
   12671019 | 18647499.7615356
   19867246 | 18584665.3416748
   18297800 | 18508281.0584717
   13759311 | 18498134.3716431
   11513186 | 18468477.2628174
   17326794 | 18454921.3104248
   19630288 |  18408386.559082
   14262479 | 18378806.7712402
   12515335 | 18376877.0444336
    5147515 | 18370371.8554077
    3350197 | 18291339.2020264
   19114902 |  18246427.458313
    2214909 | 18208035.8509521
    4048990 | 18205133.6220474
   13967249 | 18192480.2643433
    2994473 | 18183999.5490723
    4192748 | 18176986.9827271
   16192370 | 18118529.3867798
   17609701 | 18098496.5302734
    9946615 | 18054278.4178467
    1602336 | 18028112.8157654
    4164896 | 17988485.1816406
    6708352 | 17967225.3048706
    3824547 | 17951965.8395386
   10496730 | 17951829.0545654
   10630357 | 17944659.2501221
    1483393 | 17944534.4834595
   12547591 | 17944406.2894897
    4611678 |  17909407.677002
    6322369 | 17885770.5612183
    9658158 | 17874442.7941895
   16652149 |  17825480.392334
    3087874 | 17823619.4743042
   11206004 | 17803843.9985962
   12351509 | 17781931.5947571
   15685638 | 17778720.4371338
   13306442 | 17749962.3112793
   16542609 | 17734243.3032837
    6084615 | 17703250.5914307
   15710007 | 17664517.2355957
    8248905 | 17652056.1577148
   11737371 | 17639518.9229736
    7135110 | 17636426.2219849
    9217817 | 17622715.8167725
   17506565 | 17618269.2237549
   19322249 | 17613930.2466431
    3339089 | 17597137.6260376
    5981194 | 17573750.9262085
    7855023 | 17565660.4959106
   11590387 | 17555794.2780762
   16284494 | 17546624.2293396
   17184126 | 17513440.6020508
     119536 | 17509845.0132446
    4759143 | 17507992.7738647
    4752458 | 17497064.6586914
   11346975 |   17454206.50177
    8011775 | 17391847.8873901
    8181821 | 17383775.8638306
    3770790 | 17369261.7595825
   11833920 | 17359183.9647522
    1049276 |  17354307.522583
   18367907 | 17353482.2684326
    9236150 | 17324129.4936523
    9280092 | 17320186.8797607
   13146984 |  17306177.072998
    8368549 | 17295391.2927246
    4457058 | 17293393.4659424
   14909261 | 17280420.3306885
    5874506 | 17240089.1339111
    8236431 | 17238044.8369751
     571678 | 17236273.8720703
   16329643 |  17230524.572998
   15219322 | 17223547.2087708
    8570542 | 17206377.7512207
   16012830 | 17197566.1379395
    4722087 | 17184285.9033203
   19493093 | 17183503.8269043
   18383456 |     17166423.125
   13928512 | 17151075.7609253
   14450291 | 17149636.5405273
    3859495 | 17141221.0629272
    1402420 | 17134679.0297852
   17168901 | 17127253.8287964
    9945803 | 17118136.3182373
    3220257 | 17112270.0033569
    2923079 | 17108255.9423218
   17865649 | 17106226.6809082
   15483938 | 17092865.2782593
   14939294 | 17087745.4680786
   17716247 | 17067295.1809082
    4415978 | 17059196.1993408
    6881917 | 17056183.3399658
    4771008 | 17053112.9762573
    2056292 | 17052986.3704224
   15015291 |  17034981.770752
   13847886 | 17033108.8092041
    9183766 | 17012422.5053101
   15635616 | 16999036.3300781
   17109523 | 16994606.8662109
   16172334 | 16981991.2921143
    9664581 | 16970515.7296143
   19003009 | 16964734.9100952
   10790595 | 16964424.0720825
    8677731 | 16941008.4157104
